Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,CC0603KRX7R9BB104,C14663
C2,C0603,1,CL10A105KB8NNNC,C15849
JP1,ANT-SMD_UFL-R-SMT-1-10,1,U.FL-R-SMT-1,C88373
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E,C701342
U2,LGA-8_BME280_BL,1,BME280,C92489
U3,LGA-14_L5.0-W3.0-P0.80-BL,1,ADXL345BCCZ-RL7,C9667
U4,WIRELM-SMD_16P-L16.0-W16.0-P2.00_LORA-CC68-915MHZ-TCXO,1,RFM95W-915S2,C6760738
U5,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U6,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U7,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S,C173752
U8,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
USB1,MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB,1,MICRO5.9MMUSB,C393940
