Designator,Footprint,Quantity,Value,LCSC Part #
A1,TO292P930H600-4,1,MLX90640ESF-BAA-000-TU,
C1,C0603,1,CL10A105KB8NNNC,C15849
H1,HDR-TH_3P-P2.54-V-M-1,1,Header-Male-2.54_1x3,C49257
JP1,ANT-SMD_UFL-R-SMT-1-10,1,U.FL-R-SMT-1,C88373
L1,IND-SMD_L3.0-W3.0_FNR30XXS,1,FNR3015S2R2MT,C167747
SNS1,RCWL-0516,1,RCWL-0516,
U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,ATTINY1614-SSNR,C481364
U2,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
U3,MODULE_HLK-LD2410C,1,HLK-LD2410C,
U4,LGA-14_L5.0-W3.0-P0.80-BL,1,ADXL345BCCZ-RL7,C9667
U5,WIRELM-SMD_16P-L16.0-W16.0-P2.00_LORA-CC68-915MHZ-TCXO,1,RFM95W-915S2,C6760738
U6,SW-SMD_L6.0-W3.5-LS8.0,1,YZA-032-5.0W,C49108628
U7,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S,C173752
U8,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U9,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
USB1,MICRO-USB-SMD_5P-P0.65-H-F_MICRO5.9MMUSB,1,MICRO5.9MMUSB,C393940
